epoch,step,test-acc,test-clip_loss,test-cls_loss,test-cls_loss1D,test-cls_loss2D,test-contrast_loss,test-contrast_loss1D,test-contrast_loss2D,test-eer,test-loss,test-mse_loss,train-acc,train-clip_loss,train-cls_loss,train-cls_loss1D,train-cls_loss2D,train-contrast_loss,train-contrast_loss1D,train-contrast_loss2D,train-eer,train-loss,train-mse_loss,val-acc,val-clip_loss,val-cls_loss,val-cls_loss1D,val-cls_loss2D,val-contrast_loss,val-contrast_loss1D,val-contrast_loss2D,val-eer,val-loss,val-mse_loss
0,793,,,,,,,,,,,,,,,,,,,,,,,0.9967799186706543,4.532036304473877,0.20576788485050201,0.2115410566329956,0.20959147810935974,0.2608443796634674,0.1637442409992218,0.3560538589954376,0.00667189946398139,5.67873477935791,1.0068310499191284
0,793,,,,,,,,,,,,0.9708037972450256,1.9310801029205322,0.26259350776672363,0.28523731231689453,0.30591699481010437,0.48307329416275024,0.29955825209617615,0.6596248149871826,0.08837209641933441,3.7440075874328613,1.0069518089294434,,,,,,,,,,,
1,1587,,,,,,,,,,,,,,,,,,,,,,,0.9979069232940674,3.8151659965515137,0.20268665254116058,0.20347900688648224,0.20411430299282074,0.1915540099143982,0.16039545834064484,0.22784341871738434,0.002747252816334367,4.813687801361084,1.0071721076965332
1,1587,,,,,,,,,,,,0.9993301630020142,0.7520660758018494,0.2004781812429428,0.20233961939811707,0.20278103649616241,0.34413355588912964,0.22257402539253235,0.4771125018596649,0.001550387591123581,2.0573511123657227,1.0070703029632568,,,,,,,,,,,
2,2381,,,,,,,,,,,,,,,,,,,,,,,0.9990742206573486,3.4928619861602783,0.20045830309391022,0.20030634105205536,0.20154400169849396,0.16381897032260895,0.14425861835479736,0.18889373540878296,0.0019623234402388334,4.428326606750488,1.0075794458389282
2,2381,,,,,,,,,,,,0.9997242093086243,0.5566281676292419,0.19941912591457367,0.20017579197883606,0.2000483125448227,0.2345247119665146,0.18864145874977112,0.2930868864059448,0.0011627906933426857,1.638000726699829,1.0074081420898438,,,,,,,,,,,
3,3175,,,,,,,,,,,,,,,,,,,,,,,0.9993157386779785,3.194591999053955,0.200376957654953,0.20034706592559814,0.2007167935371399,0.15383809804916382,0.13665325939655304,0.17851650714874268,0.0015698587521910667,4.111204624176025,1.0079792737960815
3,3175,,,,,,,,,,,,0.9986997842788696,0.4607904255390167,0.20140387117862701,0.20293407142162323,0.20117385685443878,0.19737935066223145,0.17037935554981232,0.23692506551742554,0.004780701827257872,1.4736058712005615,1.0077883005142212,,,,,,,,,,,
4,3969,,,,,,,,,,,,,,,,,,,,,,,0.998631477355957,2.9071924686431885,0.20125317573547363,0.20280958712100983,0.20112869143486023,0.1422823667526245,0.12901009619235992,0.16356003284454346,0.0015698587521910667,3.8049557209014893,1.0082707405090332
4,3969,,,,,,,,,,,,0.9996454119682312,0.3739619553089142,0.19939719140529633,0.20053179562091827,0.19955310225486755,0.16896280646324158,0.14882996678352356,0.20227690041065216,0.0007456140592694283,1.3245506286621094,1.0081528425216675,,,,,,,,,,,
5,3970,0.9178095459938049,1.0013189315795898,0.3601231873035431,0.37410035729408264,0.35130223631858826,0.29274633526802063,0.25905007123947144,0.34663140773773193,0.040903542190790176,2.6925277709960938,1.007582664489746,,,,,,,,,,,,,,,,,,,,,,
