epoch,step,train-acc,train-clip_loss,train-cls_loss,train-cls_loss1D,train-cls_loss2D,train-contrast_loss,train-contrast_loss1D,train-contrast_loss2D,train-eer,train-loss,train-mse_loss,val-acc,val-clip_loss,val-cls_loss,val-cls_loss1D,val-cls_loss2D,val-contrast_loss,val-contrast_loss1D,val-contrast_loss2D,val-eer,val-loss,val-mse_loss
0,1586,,,,,,,,,,,,0.986314594745636,3.225689172744751,0.2164502739906311,0.25752630829811096,0.22048984467983246,0.20208638906478882,0.14200100302696228,0.2860284447669983,0.008252601139247417,4.3481831550598145,1.006127119064331
0,1586,0.9740346670150757,1.2369321584701538,0.2510981857776642,0.27130788564682007,0.2736673653125763,0.4054141044616699,0.23230107128620148,0.6066004633903503,0.06976744532585144,2.8719072341918945,1.005707025527954,,,,,,,,,,,
1,3173,,,,,,,,,,,,0.9993559718132019,2.9293935298919678,0.20039750635623932,0.2004816234111786,0.20075148344039917,0.10110068321228027,0.08407063782215118,0.12737709283828735,0.005494505632668734,3.7424752712249756,1.0068777799606323
1,3173,0.9984239339828491,0.5173627138137817,0.20160292088985443,0.20486198365688324,0.20231734216213226,0.18964828550815582,0.14584621787071228,0.25692471861839294,0.0023255813866853714,1.528914213180542,1.0067991018295288,,,,,,,,,,,
2,4760,,,,,,,,,,,,0.9993559718132019,2.4586031436920166,0.2002747505903244,0.2007768303155899,0.20051227509975433,0.09308601915836334,0.08144677430391312,0.11445062607526779,0.00044851095299236476,3.256070613861084,1.0078297853469849
2,4760,0.9994877576828003,0.3593755066394806,0.19964046776294708,0.20212814211845398,0.19970037043094635,0.13374470174312592,0.11630210280418396,0.16719864308834076,0.0006578947650268674,1.2443448305130005,1.0076133012771606,,,,,,,,,,,
3,6347,,,,,,,,,,,,0.998631477355957,2.3260064125061035,0.20095449686050415,0.20217329263687134,0.2011956125497818,0.08453984558582306,0.07275223731994629,0.10890515148639679,0.0003924646880477667,3.1119906902313232,1.0083285570144653
3,6347,0.9993301630020142,0.27365246415138245,0.20005270838737488,0.20140041410923004,0.20014163851737976,0.10781075060367584,0.09605070948600769,0.13439910113811493,0.0027131782844662666,1.105696201324463,1.0083434581756592,,,,,,,,,,,
